ima_method_id,ima_method_revision_id,ima_method_assembly_id,ima_level,ima_part_id,ima_part_revision_id,ima_unit_of_measure,ima_part_short_description,ima_part_long_description_text,ima_use_method,ima_source_method_id,ima_source_revision_id,ima_production_notes_text,ima_quantity_per_parent,ima_pull_all_from_stock,ima_documents,ima_created_by,ima_created_date
M045-0022,0,0,1,M045-0022,0,EA,26605D,CNTL PNL BACKING PLT W/O HOLE    26605D,FALSE,,,,1,FALSE,15392,,
M045-0024,0,0,1,M045-0024,0,EA,89115B,BACK-UP BAR - HOSE CLAMP    89115B,FALSE,,,,1,FALSE,15394,,
M045-0026,0,0,1,M045-0026,0,EA,266063,SAFETY CHAIN POCKET COVER 408    266063,FALSE,,,,1,FALSE,15486,,
S038-0995,0,0,1,S038-0995,0,EA,HS07-02.5X006.4-PSW5JCHAN,"SHEET, 7 GA. 2 1/2"" X 6 3/8""",FALSE,,,,1,FALSE,15385,,
S046-0384,0,0,1,S046-0384,0,EA,"110-183 BRACKET, TX710 HMI BRACKET","110-183 BRACKET, TX710 HMI BRACKET",FALSE,,,,1,FALSE,15441,,
C060-0014,0,0,1,C060-0014,0,EA,84592-A05-W01 MOTHERSHIP HOLDER,84592-A05-W01 MOTHERSHIP HOLDER,FALSE,,,,1,FALSE,15399,,
C005-0492,0,0,1,C005-0492,0,EA,M038129,Washer   54-13-03,FALSE,,,,1,FALSE,15406,,
S002-1172,0,0,1,S002-1172,0,EA,612731,"612731 SHEAVE PIN, HANDLE, CP-50",FALSE,,,,1,FALSE,15407,,
S046-0379,0,0,1,S046-0379,0,EA,"150-082 WINDOW KIT PLATE, SP-1813-MWG-VLT-KP","150-082 WINDOW KIT PLATE, SP-1813-MWG-VLT-KP",FALSE,,,,1,FALSE,15398,,
S046-0381,0,0,1,S046-0381,0,EA,"145-027 BAFFLE PLATE, 2DR-30-RH-BAFFLE-1150","145-027 BAFFLE PLATE, 2DR-30-RH-BAFFLE-1150",FALSE,,,,1,FALSE,15402,,
S002-1171,0,0,1,S002-1171,0,EA,624981,624981 FC: CONDUCTOR KEEPER STEP,FALSE,,,,1,FALSE,15408,,
B025-0018,0,0,1,B025-0018,0,EA,DD-DB1085FP,DD-DB1085FP,FALSE,,,,1,FALSE,15411,,
B025-0020,0,0,1,B025-0020,0,EA,DD-BP1005,DD-BP1005 DDAB BACK PANEL,FALSE,,,,1,FALSE,15418,,
B025-0019,0,0,1,B025-0019,0,EA,DD-CB1060,DD-CB1060 COUNTER BRACKET,FALSE,,,,1,FALSE,15412,,
S038-0997,0,0,1,S038-0997,0,EA,HS07-5X053UA01BF50000032,"SHEET, HS 7 GA. 5"" X 53""",FALSE,,,,1,FALSE,15426,,
H030-0052,0,0,1,H030-0052,0,EA,900-1640 (1515-ECF02),900-1640 (1515-ECF02),FALSE,,,,1,FALSE,15415,,
H030-0053,0,0,1,H030-0053,0,EA,900-1641 (1515-ECF03),900-1641 (1515-ECF03),FALSE,,,,1,FALSE,15416,,
H030-0054,0,0,1,H030-0054,0,EA,900-1642 (1515-ECF04),900-1642 (1515-ECF04),FALSE,,,,1,FALSE,15417,,
S038-0999,0,0,1,S038-0999,0,EA,S.3-10X10-FPSBASE-275143,"FOOTPLATE, 1/4"" X 10"" X 10"", (8) 9/16"" HOLES",FALSE,,,,1,FALSE,15453,,
S039-0327,0,0,1,S039-0327,0,EA,MR6ZP000102-12MCH,MR6ZP000102-12MCH PLATE,FALSE,,,,1,FALSE,15428,,
H031-0032,0,0,1,H031-0032,0,EA,0.375-PIVOT-HANDLE,0.375-PIVOT-HANDLE,FALSE,,,,1,FALSE,15442,,
S046-0382,0,0,1,S046-0382,0,EA,"BRACKET, STACKABLE PALLET, NO CAP","BRACKET, STACKABLE PALLET, NO CAP",FALSE,,,,1,FALSE,15468,,
S046-0385,0,0,1,S046-0385,0,EA,"105-213 PANEL, 1MW TRANS CVR TOP LH","105-213 PANEL, 1MW TRANS CVR TOP LH",FALSE,,,,1,FALSE,15473,,
S046-0450,0,0,1,S046-0450,0,EA,999-003-050,DRIVE INSERTION TOOL END ADAPTER,FALSE,,,,1,FALSE,15903,,
M026-0608,0,0,1,M026-0608,0,EA,1053-11D-001-0000,SUPPORT,FALSE,,,,1,FALSE,15613,,
S002-1182,0,0,1,S002-1182,0,EA,315785 FAB; DRIVE SLEEVE KEY,315785 FAB; DRIVE SLEEVE KEY,FALSE,,,,1,FALSE,15715,,
S046-0388,0,0,1,S046-0388,0,EA,105-214,105-214 84x60-DRIVE-PANEL,FALSE,,,,1,FALSE,15526,,
S046-0389,0,0,1,S046-0389,0,EA,"110-204 BRACKET, CAT-SP-SUPPORT-FRAME","110-204 BRACKET, CAT-SP-SUPPORT-FRAME",FALSE,,,,1,FALSE,15530,,
H030-0055,0,0,1,H030-0055,0,EA,LHC Gusset,LHC Gusset,FALSE,,,,1,FALSE,15571,,
S038-0038,0,0,1,S038-0038,0,EA,F.5X8-06.5X007.75-IBC,"Flat 1/2"" x 8"" - 6-1/2 x 7-3/4 -",FALSE,,,,1,FALSE,15568,,
C060-0015,0,0,1,C060-0015,0,EA,A49597-81-001 TARTE METAL HEADER,A49597-81-001 TARTE METAL HEADER,FALSE,,,,1,FALSE,15602,,
M030-0494,0,0,1,M030-0494,0,EA,158048200,158048200 STF BHD A STL TB RH,FALSE,,,,1,FALSE,"15584
15585
15586
15587
15588",,
S046-0396,0,0,1,S046-0396,0,EA,"110-035 BRACKET, CWK-C COLD WEATHER KIT FOR C- BOX","110-035 BRACKET, CWK-C COLD WEATHER KIT FOR C- BOX",FALSE,,,,1,FALSE,15634,,
S046-0391,0,0,1,S046-0391,0,EA,"110-209 BRACKET, HGP-6-CAP-BOT-BRKT","110-209 BRACKET, HGP-6-CAP-BOT-BRKT",FALSE,,,,1,FALSE,15591,,
S046-0392,0,0,1,S046-0392,0,EA,"110-208 BRACKET, HGP-6-CAP-TOP-BRKT","110-208 BRACKET, HGP-6-CAP-TOP-BRKT",FALSE,,,,1,FALSE,15592,,
B022-0306,0,0,1,B022-0306,0,EA,3 x 8 Old Style Door (Left),3 x 8 Old Style Door (Left),FALSE,,,,1,FALSE,,,
S038-1001,0,0,1,S038-1001,0,EA,HS07-5X045MA03141X440029,"SHEET, HS 7 GA 5"" X 45""",FALSE,,,,1,FALSE,15590,,
S046-0393,0,0,1,S046-0393,0,EA,"105-207 PANEL, SP-1813-KP-4PB","105-207 PANEL, SP-1813-KP-4PB",FALSE,,,,1,FALSE,15601,,
M026-0609,0,0,1,M026-0609,0,EA,1501-9066-00C4,1501-9066-00C4,FALSE,,,,1,FALSE,15614,,
A038-0109,0,0,1,A038-0109,0,EA,26216-DWG-SHIMS-11 GA,"1/8"" X 9"" X 9"" GALVANIZED SHIMS",FALSE,,,,1,FALSE,15615,,
A038-0110,0,0,1,A038-0110,0,EA,26216-DWG-SHIMS-16 GA,"1/16"" X 9"" X 9"" GALVANIZED SHIM",FALSE,,,,1,FALSE,15616,,
T026-0629,0,0,1,T026-0629,0,EA,AMZCH220069,REFLECTOR BRACKET - 16GA GALV,FALSE,,,,1,FALSE,15659,,
L010-0040,0,0,1,L010-0040,0,EA,1004-00-0103,1004-00-0103,FALSE,,,,1,FALSE,15638,,
L010-0038,0,0,1,L010-0038,0,EA,1004-00-0101,1004-00-0101,FALSE,,,,1,FALSE,15636,,
L010-0039,0,0,1,L010-0039,0,EA,1004-00-0102,1004-00-0102,FALSE,,,,1,FALSE,15637,,
L010-0041,0,0,1,L010-0041,0,EA,1004-00-0104,1004-00-0104,FALSE,,,,1,FALSE,,,
E024-0007,0,0,1,E024-0007,0,EA,EN2040,DUAL 600 HP AC BELT CENTER,FALSE,,,,1,FALSE,,,
A055-0001,0,0,1,A055-0001,0,EA,8600D-003 back plate,8600D-003 back plate,FALSE,,,,1,FALSE,15639,,
W007-0015,0,0,1,W007-0015,0,EA,4701-000190-001,4701-000190-001,FALSE,,,,1,FALSE,15620,,
C060-0016,0,0,1,C060-0016,0,EA,84974-81-002-00 TEMPLATE SUPPORT,84974-81-002-00 TEMPLATE SUPPORT,FALSE,,,,1,FALSE,15630,,
S002-1181,0,0,1,S002-1181,0,EA,624107,FC;PLATE; MOUNT,FALSE,,,,1,FALSE,15650,,
S002-1180,0,0,1,S002-1180,0,EA,621014,FC;PLATE; PILLOW;  BLOCK; MOUNT,FALSE,,,,1,FALSE,15649,,
F022-0015,0,0,1,F022-0015,0,EA,SIDELOAD DISPLAY SUPPORT CLIP,SIDELOAD DISPLAY SUPPORT CLIP,FALSE,,,,1,FALSE,15679,,
V008-0031,0,0,1,V008-0031,0,EA,VTM CONSOLE WELDMENT,VTM CONSOLE WELDMENT,FALSE,,,,1,FALSE,,,
S046-0397,0,0,1,S046-0397,0,EA,"145-031 BAFFLE PLATE, NEMA1-EX-LAD-BAFFLE-FR10","145-031 BAFFLE PLATE, NEMA1-EX-LAD-BAFFLE-FR10",FALSE,,,,1,FALSE,15714,,
A054-0004,0,0,1,A054-0004,0,EA,ENCL9664,DOOR CLOSER BRACKET,FALSE,,,,1,FALSE,15729,,
S002-1185,0,0,1,S002-1185,0,EA,310580 WMT; STOP PIN HOUSING & MOUNT FOR CRS,310580 WMT; STOP PIN HOUSING & MOUNT FOR CRS,FALSE,,,,1,FALSE,"15722
15723
15724
15725",,
S046-0398,0,0,1,S046-0398,0,EA,"110-185 BRACKET, CTM TR MOUNT TOP REAR","110-185 BRACKET, CTM TR MOUNT TOP REAR",FALSE,,,,1,FALSE,15721,,
M046-0025,0,0,1,M046-0025,0,EA,LARGE COUNTER,LARGE COUNTER,FALSE,,,,1,FALSE,15731,,
H030-0066,0,0,1,H030-0066,0,EA,900-1797,1.5_MCWF01,FALSE,,,,1,FALSE,16021,,
H030-0067,0,0,1,H030-0067,0,EA,900-1798,1.5_MCWF02,FALSE,,,,1,FALSE,16022,,
H030-0068,0,0,1,H030-0068,0,EA,900-1799,1.5_MCWF03,FALSE,,,,1,FALSE,16023,,
M046-0024,0,0,1,M046-0024,0,EA,SMALL COUNTER,SMALL COUNTER,FALSE,,,,1,FALSE,15730,,
C057-0008,0,0,1,C057-0008,0,EA,C057-0008,DRIVER CAGE 2 SIDES LH 8 FT X 6 FT WITHOUT DOCUMENT PASS THROUGH,FALSE,,,,1,FALSE,15758,,
E024-0008B-8-2-2,0,0,1,E024-0008B-8-2-2,0,EA,E024-0008B-8-2-2,10.24 x 14.25 Subpanel,FALSE,,,,1,FALSE,,,
S046-0399,0,0,1,S046-0399,0,EA,"110-179 BRACKET, EMAX-1_2-BR-BRKT-LH","110-179 BRACKET, EMAX-1_2-BR-BRKT-LH",FALSE,,,,1,FALSE,15751,,
S046-0406,0,0,1,S046-0406,0,EA,105-129,"105-129 PANEL, 3DR-1300-BAFFLE-LH",FALSE,,,,1,FALSE,15851,,
C057-0009,0,0,1,C057-0009,0,EA,DRIVER CAGE 2 SIDES RH 8 FT X 6 FT,DRIVER CAGE 2 SIDES RH 8 FT X 6 FT W/ DOCUMENT PASS THROUGH,FALSE,,,,1,FALSE,,,
C057-0010,0,0,1,C057-0010,0,EA,MAN TRAP 4S8X6,4 SIDED MANTRAP  8 X 6,FALSE,,,,1,FALSE,,,
S039-1156,0,0,1,S039-1156,0,EA,22003-141111-OS,22003-141111-OS DIVIDER PLATE,FALSE,,,,1,FALSE,15823,,
S038-1002,0,0,1,S038-1002,0,EA,S.3-01.5X008.44-276202,"SHEET, 1/4"" - 1 1/2"" X 8 7/16""",FALSE,,,,1,FALSE,15779,,
M045-0038,0,0,1,M045-0038,0,EA,7006058,"GUARD, SPLASH LH",FALSE,,,,1,FALSE,15760,,
M045-0039,0,0,1,M045-0039,0,EA,7006059,"GUARD, SPLASH RH",FALSE,,,,1,FALSE,15761,,
C060-0018,0,0,1,C060-0018,0,EA,54541-A01-S01-02,PROP ARM - WHITE PAINT ONLY,FALSE,,,,1,FALSE,15763,,
ROTARY SHAFT 1X24,0,0,1,ROTARY SHAFT 1X24,0,EA,"ROTARY SHAFT 1"" DIA X 24"" LONG","ROTARY SHAFT 1"" DIA X 24"" LONG 1566 CARBON STEEL
MCMASTER-CARR PN 1346K38
https://www.mcmaster.com/1346K38/",FALSE,,,,1,FALSE,,,
STEEL ROD 1.25X24,0,0,1,STEEL ROD 1.25X24,0,EA,"LOW-CARBON STEEL ROD 1.25"" DIA X 24"" LONG","LOW-CARBON STEEL ROD 1.25"" DIA X 24"" LONG
MCMASTER-CARR PN 8920K271
https://www.mcmaster.com/8920K271/",FALSE,,,,1,FALSE,,,
S038-1003,0,0,1,S038-1003,0,EA,FP-4X12.5X.125-273782,"11GA-4"" X 12 1/2"" SHIM",FALSE,,,,1,FALSE,15798,,
H031-0033,0,0,1,H031-0033,0,EA,HDEV-14-LA23-001,HDEV-14-LA23-001-.25 HRPO 9.625 IN X 12.875 IN,FALSE,,,,1,FALSE,15818,,
H031-0035,0,0,1,H031-0035,0,EA,HDEV-14-LA23-003,HDEV-14-LA23-003-.25 HRPO 8.0 IN X2.0 IN,FALSE,,,,1,FALSE,15821,,
S039-1158,0,0,1,S039-1158,0,EA,22003-141124-OS,22003-141124-OS BAFFLE PLATE,FALSE,,,,1,FALSE,15825,,
S039-1161,0,0,1,S039-1161,0,EA,22003-141135-OS,22003-141135-OS BAFFLE PLATE,FALSE,,,,1,FALSE,15828,,
S039-1162,0,0,1,S039-1162,0,EA,22003-142111-OS,22003-142111-OS CENTER T BAFFLE BOTTOM,FALSE,,,,1,FALSE,15829,,
H030-0062,0,0,1,H030-0062,0,EA,374-9815,374-9815 PLATE,FALSE,,,,1,FALSE,15850,,
M044-0017,0,0,1,M044-0017,0,EA,MC_TRANSIT_SP_L,MC_TRANSIT_SP_L,FALSE,,,,1,FALSE,15831,,
M044-0018,0,0,1,M044-0018,0,EA,MC_TRANSIT_SP_S,MC_TRANSIT_SP_S,FALSE,,,,1,FALSE,15832,,
S046-0491,0,0,1,S046-0491,0,EA,BOTTOM STEEL TURNTABLE PLATE,BOTTOM STEEL TURNTABLE PLATE,FALSE,,,,1,FALSE,16855,,
S046-0405,0,0,1,S046-0405,0,EA,150-083,150-083 WINDOW KIT PLATE,FALSE,,,,1,FALSE,15830,,
S038-1007,0,0,1,S038-1007,0,EA,ACPF5048,"ACPF5048 5""7 GA. COL PROT-FRMD-48""",FALSE,,,,1,FALSE,15928,,
S038-1009,0,0,1,S038-1009,0,EA,FP-12X12X.5-.88,"FP-12X12X.5-.88 FOOTPAD, 1/2"" X 12"" X 12, (4) 7/8"" HOLES",FALSE,,,,1,FALSE,15930,,
M026-0613,0,0,1,M026-0613,0,EA,RD-0431-00S3,"RD-0431-00S3
AIR BAFFLE PLATE W 5/16"" HOLES",FALSE,,,,1,FALSE,15991,,
M047-0032,0,0,1,M047-0032,0,EA,91725,91725,FALSE,,,,1,FALSE,16010,,
S046-0449,0,0,1,S046-0449,0,EA,999-003-060,DRIVE INSERTION TOOL DETACHABLE BASE,FALSE,,,,1,FALSE,15897,,
S039-1166,0,0,1,S039-1166,0,EA,191GTS-042-OS,191GTS-042 BASE PAN 3,FALSE,,,,1,FALSE,15960,,
S038-1008,0,0,1,S038-1008,0,EA,FP-12X12X.31-.88,"FP-12X12X.31-.88 FOOTPAD, 5/16"" X 12"" X 12"", (4) 7/8"" HOLES",FALSE,,,,1,FALSE,15929,,
S039-1191,0,0,1,S039-1191,0,EA,417-001-299,417-001-299,FALSE,,,,1,FALSE,16485,,
S039-1192,0,0,1,S039-1192,0,EA,417-001-640,417-001-640,FALSE,,,,1,FALSE,16486,,
S039-1196,0,0,1,S039-1196,0,EA,418-000-826,418-000-826,FALSE,,,,1,FALSE,16490,,
S039-1198,0,0,1,S039-1198,0,EA,418-000-832,418-000-832,FALSE,,,,1,FALSE,16492,,
S039-1199,0,0,1,S039-1199,0,EA,418-000-840,418-000-840,FALSE,,,,1,FALSE,16493,,
S039-1208,0,0,1,S039-1208,0,EA,418-000-961,418-000-961,FALSE,,,,1,FALSE,16502,,
S039-1209,0,0,1,S039-1209,0,EA,418-000-976,418-000-976,FALSE,,,,1,FALSE,16503,,
S039-1189,0,0,1,S039-1189,0,EA,412-000-593,412-000-593,FALSE,,,,1,FALSE,16483,,
S039-1205,0,0,1,S039-1205,0,EA,418-000-912,418-000-912,FALSE,,,,1,FALSE,16499,,
S039-1215,0,0,1,S039-1215,0,EA,418-000-825,418-000-825,FALSE,,,,1,FALSE,16510,,
S039-1216,0,0,1,S039-1216,0,EA,418-000-831,418-000-831,FALSE,,,,1,FALSE,16511,,
S039-1217,0,0,1,S039-1217,0,EA,418-000-845,418-000-845,FALSE,,,,1,FALSE,16512,,
S039-1218,0,0,1,S039-1218,0,EA,418-000-913,418-000-913,FALSE,,,,1,FALSE,16513,,
S039-1219,0,0,1,S039-1219,0,EA,418-000-914,418-000-914,FALSE,,,,1,FALSE,16514,,
S039-1214,0,0,1,S039-1214,0,EA,418-000-801,418-000-801,FALSE,,,,1,FALSE,16509,,
S039-1223,0,0,1,S039-1223,0,EA,417-001-199,417-001-199,FALSE,,,,1,FALSE,16518,,
S039-1224,0,0,1,S039-1224,0,EA,417-001-298,417-001-298,FALSE,,,,1,FALSE,16519,,
S039-1225,0,0,1,S039-1225,0,EA,417-001-668,417-001-668,FALSE,,,,1,FALSE,16520,,
S039-1226,0,0,1,S039-1226,0,EA,418-000-824,418-000-824,FALSE,,,,1,FALSE,16521,,
S039-1244,0,0,1,S039-1244,0,EA,418-000-835,418-000-835,FALSE,,,,1,FALSE,16539,,
S039-1245,0,0,1,S039-1245,0,EA,418-000-836,418-000-836,FALSE,,,,1,FALSE,16540,,
S039-1227,0,0,1,S039-1227,0,EA,418-000-833,418-000-833,FALSE,,,,1,FALSE,16522,,
S039-1220,0,0,1,S039-1220,0,EA,418-000-956,418-000-956,FALSE,,,,1,FALSE,16515,,
S039-1247,0,0,1,S039-1247,0,EA,418-000-760,418-000-760,FALSE,,,,1,FALSE,16542,,
S039-1231,0,0,1,S039-1231,0,EA,418-000-850,418-000-850,FALSE,,,,1,FALSE,16526,,
S038-1026,0,0,1,S038-1026,0,EA,S07-10.4X12NOTCH2.5X7T,"SHEET 7GA 10 3/8"" X 12"" FPS BODY - NOTCHED",FALSE,,,,1,FALSE,16604,,
S038-1027,0,0,1,S038-1027,0,EA,HS07-5X052WA01BF49000029,"SHEET, HS 7 GA 5"" X 52""",FALSE,,,,1,FALSE,16605,,
H030-0071,0,0,1,H030-0071,0,EA,900-1802,1.5_MCWF06,FALSE,,,,1,FALSE,16026,,
S046-0452,0,0,1,S046-0452,0,EA,110-227,"110-227 BRACKET, C350-TRANS-BRKT-HUGES",FALSE,,,,1,FALSE,"16147
16146",,
S046-0454,0,0,1,S046-0454,0,EA,"105-235 PANEL, FR5-TOP-CVR-HUGES","105-235 PANEL, FR5-TOP-CVR-HUGES",FALSE,,,,1,FALSE,"16150
16149",,
S046-0455,0,0,1,S046-0455,0,EA,110-226,"110-226 BRACKET, FR5-DRIVE-BRKT",FALSE,,,,1,FALSE,"16151
16152",,
S046-0456,0,0,1,S046-0456,0,EA,120-290,"120-290 ENCLOSURE ACCESSORY,C350-TRANS- STRAP-HUGE",FALSE,,,,1,FALSE,"16153
16154",,
H030-0086,0,0,1,H030-0086,0,EA,900-1817,900-1817 STTF11,FALSE,,,,1,FALSE,16084,,
M040-0283,0,0,1,M040-0283,0,EA,Outsource 20709-E,DETAIL 3.3,FALSE,,,,1,FALSE,16130,,
S038-1011,0,0,1,S038-1011,0,EA,HS07-5X050WA01BF47000028,"HS07-5X050WA01BF47000028 SHEET, HS 7 GA. 5X50",FALSE,,,,1,FALSE,16093,,
M040-0272,0,0,1,M040-0272,0,EA,Outsource C-20,DETAIL C-20,FALSE,,,,1,FALSE,16113,,
B035-0004,0,0,1,B035-0004,0,EA,4.5 DIA CIR W/ 5/16 HOLE,4.5 DIA CIR W/ 5/16 HOLE,FALSE,,,,1,FALSE,16117,,
B035-0005,0,0,1,B035-0005,0,EA,4.5 DIA CIR NO HOLE,4.5 DIA CIR NO HOLE,FALSE,,,,1,FALSE,16118,,
B035-0006,0,0,1,B035-0006,0,EA,181123000P01,LIFTING LUG,FALSE,,,,1,FALSE,16119,,
M040-0285,0,0,1,M040-0285,0,EA,Outsource 20709-I,DETAIL 6.4,FALSE,,,,1,FALSE,16132,,
S046-0457,0,0,1,S046-0457,0,EA,105-238,105-238-CAT-MANIFOLD-CVR,FALSE,,,,1,FALSE,16167,,
Y002-0658,0,0,1,Y002-0658,0,EA,YT451969-BL,MOTOR SUPPORT ASY  59.09,FALSE,,,,1,FALSE,"16243
16244
16245
16246
16247
16248
16249",,
Y002-0659,0,0,1,Y002-0659,0,EA,YT451974-BL,MOTOR BASE ASY 23.00 HSLA,FALSE,,,,1,FALSE,"16232
16233
16234",,
K016-0708,0,0,1,K016-0708,0,EA,TUBE CART RT,TUBE CART RT   KNOX 1 CAPEX 2920,FALSE,,,,1,FALSE,"16268
16269
16271",,
K016-0709,0,0,1,K016-0709,0,EA,TUBE CART TALL,TUBE CART TALL,FALSE,,,,1,FALSE,"16273
16272",,
K016-0710,0,0,1,K016-0710,0,EA,TUBE CART TALL CONNECTION ASSY,TUBE CART TALL CONNECTION ASSY,FALSE,,,,1,FALSE,16274,,
M026-0622,0,0,1,M026-0622,0,EA,4005-2184-0010,INNER CASING RIGHT FRONT,FALSE,,,,1,FALSE,,,
A014-0937,0,0,1,A014-0937,0,EA,79807-MS-001,THREADED ALUMINUM POST,FALSE,,,,1,FALSE,16263,,
G016-0006,0,0,1,G016-0006,0,EA,IB-XL-CS,"Clip Support, Body, W4, 1/4 A36 4.5 X
4.85",FALSE,,,,1,FALSE,16201,,
M046-0037,0,0,1,M046-0037,0,EA,J002-0011A,CUSTOMER SUPPLIED ALL PARTS AND HARDWARE IF NEEDED,FALSE,,,,1,FALSE,16231,,
S038-1013,0,0,1,S038-1013,0,EA,S.3-04.75X006.5-237587,"SHEET, 1/4"" - 4 3/4"" X 6 1/2""",FALSE,,,,1,FALSE,16255,,
S038-1014,0,0,1,S038-1014,0,EA,SHIM.06-13,"SHIM, 1/16"" X 10"" X 10"" - (8) 5/8 HOLES",FALSE,,,,1,FALSE,16256,,
S038-1017,0,0,1,S038-1017,0,EA,S.4-09X009-Q343187,"SHEET, 3/8"" - 9"" X 9""",FALSE,,,,1,FALSE,16260,,
S046-0461,0,0,1,S046-0461,0,EA,150-085,SP-1813-VX-303,FALSE,,,,1,FALSE,16264,,
S046-0459,0,0,1,S046-0459,0,EA,150-084,"WINDOW KIT PLATE, SP -1813-TX710-VERT",FALSE,,,,1,FALSE,16200,,
S046-0460,0,0,1,S046-0460,0,EA,"105-240 5""x7"" custom plate to cover side vents","105-240 5""x7"" custom plate to cover side vents on 1 door enclosures",FALSE,,,,1,FALSE,16209,,
H018-0001,0,0,1,H018-0001,0,EA,RFPMAEJ24,DPF_FRONT_HEAD_CART,FALSE,,,,1,FALSE,,,
M026-0621,0,0,1,M026-0621,0,EA,4005-2185-0010,INNER CASING LEFT FRONT,FALSE,,,,1,FALSE,,,
S038-1018,0,0,1,S038-1018,0,EA,F.4X8-013-277860,"FLAT 3/8"" X 8"" - 13""",FALSE,,,,1,FALSE,16261,,
S038-1019,0,0,1,S038-1019,0,EA,S.3-06X008-STOP-Q313187,"SHEET, 1/4"" - 6"" X 8""",FALSE,,,,1,FALSE,16262,,
C060-0020,0,0,1,C060-0020,0,EA,87330-M01,87330-M01   metal palette holders,FALSE,,,,1,FALSE,16258,,
L019-0006,0,0,1,L019-0006,0,EA,4367-01,4367-01,FALSE,,,,1,FALSE,,,
L019-0009,0,0,1,L019-0009,0,EA,4367-20,4367-20,FALSE,,,,1,FALSE,,,
L019-0012,0,0,1,L019-0012,0,EA,4367-34,4367-34,FALSE,,,,1,FALSE,,,
L019-0001,0,0,1,L019-0001,0,EA,4367-18,4367-18,FALSE,,,,1,FALSE,,,
L019-0002,0,0,1,L019-0002,0,EA,4367-17,4367-17,FALSE,,,,1,FALSE,,,
L019-0004,0,0,1,L019-0004,0,EA,4367-08,4367-08,FALSE,,,,1,FALSE,,,
L019-0005,0,0,1,L019-0005,0,EA,4367-02,4367-02,FALSE,,,,1,FALSE,,,
L019-0007,0,0,1,L019-0007,0,EA,4367-03,4367-03,FALSE,,,,1,FALSE,,,
L019-0008,0,0,1,L019-0008,0,EA,4367-01-F,4367-01-F,FALSE,,,,1,FALSE,,,
L019-0010,0,0,1,L019-0010,0,EA,4367-28,4367-28,FALSE,,,,1,FALSE,,,
L019-0011,0,0,1,L019-0011,0,EA,4367-30,4367-30,FALSE,,,,1,FALSE,,,
B035-0008,0,0,1,B035-0008,0,EA,240212501MP10,240212501MP10,FALSE,,,,1,FALSE,16308,,
B035-0007,0,0,1,B035-0007,0,EA,240212501MP09,240212501MP09,FALSE,,,,1,FALSE,16307,,
P014-0058,0,0,1,P014-0058,0,EA,DBL5,DBL5,FALSE,,,,1,FALSE,16336,,
P014-0059,0,0,1,P014-0059,0,EA,FORMED BRACKET 7.375 LG,"FORMED BRACKET 7.375 LG

.188 hrpo MATERIAL",FALSE,,,,1,FALSE,16337,,
A053-0084,0,0,1,A053-0084,0,EA,53220 71300,FENDER,FALSE,,,,1,FALSE,16414,,
H018-0002,0,0,1,H018-0002,0,EA,RFPMAEJ24,RFPMAEJ24   Packer Rack,FALSE,,,,1,FALSE,"16420
16421
16422
16423
16424
16425
16426
16427
16428
16429
16430",,
C026-0036,0,0,1,C026-0036,0,EA,200621,MOUNTING PLATE,FALSE,,,,1,FALSE,8959,,
S039-1182,0,0,1,S039-1182,0,EA,T-635129-01,"PLATE .5, STL MILD X 16.10 X 60.57 FORMED",FALSE,,,,1,FALSE,16410,,
S039-1183,0,0,1,S039-1183,0,EA,T-635130-01,"PLATE .5, STL MILD X 16.1 X 91.06 FORMED",FALSE,,,,1,FALSE,16411,,
S039-1184,0,0,1,S039-1184,0,EA,T-635131-01,"PLATE .5, STL MILD X 16.1 X 91.06 FORMED",FALSE,,,,1,FALSE,16412,,
S046-0469,0,0,1,S046-0469,0,EA,105-243,NLA CAP PLATE,FALSE,,,,1,FALSE,16453,,
M040-0289,0,0,1,M040-0289,0,EA,DETAIL #16,DETAIL #16,FALSE,,,,1,FALSE,16476,,
M040-0290,0,0,1,M040-0290,0,EA,DETAIL # 18,DETAIL # 18,FALSE,,,,1,FALSE,16477,,
M040-0291,0,0,1,M040-0291,0,EA,DETAIL # 51,DETAIL # 51,FALSE,,,,1,FALSE,16478,,
S039-1251,0,0,1,S039-1251,0,EA,418-000-887,418-000-887,FALSE,,,,1,FALSE,16549,,
S039-1212,0,0,1,S039-1212,0,EA,417-001-663,417-001-663,FALSE,,,,1,FALSE,16550,,
S039-1228,0,0,1,S039-1228,0,EA,418-000-843,418-000-843,FALSE,,,,1,FALSE,16523,,
S039-1234,0,0,1,S039-1234,0,EA,418-000-856,418-000-856,FALSE,,,,1,FALSE,16529,,
S039-1235,0,0,1,S039-1235,0,EA,418-000-874,418-000-874,FALSE,,,,1,FALSE,16530,,
H018-0003,0,0,1,H018-0003,0,EA,RFUBAPK24,HP/DPF EJECTOR CYL RACK,FALSE,,,,1,FALSE,"16639
16640
16641
16642
16643
16644
16645
16646
16647
16648
16649
16650",,
S039-1295,0,0,1,S039-1295,0,EA,115-A-097,115-A-097,FALSE,,,,1,FALSE,16606,,
M047-0089,0,0,1,M047-0089,0,EA,91932,"LASER CUT USING 91932.DXF ON .125"" 5052 ALUM CUSTOMER SUPPLIED",FALSE,,,,1,FALSE,16609,,
M047-0090,0,0,1,M047-0090,0,EA,91933,LASER CUT USING 919.33.DXF ON .125 5052 ALUM,FALSE,,,,1,FALSE,16610,,
